Start Time  Thursday May 01 2025 10:47:15
Bitrate   500 kbit/s
Operating Mode  Std ErrDet TxPass
Driver Version  4.1.212.0
"Bus","No","Time","State","ID (hex)","DLC","Data (hex)","ASCII"
"USB-to-CAN V2 compact  CAN-1","1","00:00:00.083","      ","19D","8","40 00 3F FF 00 0E BD FF","@.?....."
"USB-to-CAN V2 compact  CAN-1","2","00:00:00.083","      ","1AF","2","00 00",".."
"USB-to-CAN V2 compact  CAN-1","3","00:00:00.084","      ","1F5","8","0D 0D 00 03 00 00 08 00","........"
"USB-to-CAN V2 compact  CAN-1","4","00:00:00.084","      ","191","8","07 10 07 10 07 10 04 04","........"
"USB-to-CAN V2 compact  CAN-1","5","00:00:00.084","      ","1A1","7","00 00 21 40 00 00 04","..!@..."
"USB-to-CAN V2 compact  CAN-1","6","00:00:00.085","      ","1BA","7","37 10 6A 06 A0 71 09","7.j..q."
"USB-to-CAN V2 compact  CAN-1","7","00:00:00.086","      ","1F3","3","00 00 00","..."
"USB-to-CAN V2 compact  CAN-1","8","00:00:00.086","      ","380","8","00 1A 00 55 00 00 00 00","...U...."
"USB-to-CAN V2 compact  CAN-1","9","00:00:00.087","      ","0C7","4","00 E5 40 14","..@."
"USB-to-CAN V2 compact  CAN-1","10","00:00:00.088","      ","0F9","8","00 00 40 00 00 11 6A FF","..@...j."
"USB-to-CAN V2 compact  CAN-1","11","00:00:00.088","      ","0C1","8","40 00 00 00 40 00 00 00","@...@..."
"USB-to-CAN V2 compact  CAN-1","12","00:00:00.089","      ","0C5","8","40 00 00 00 40 00 00 00","@...@..."
"USB-to-CAN V2 compact  CAN-1","13","00:00:00.089","      ","0F1","4","00 00 00 40","...@"
"USB-to-CAN V2 compact  CAN-1","14","00:00:00.089","      ","189","6","CF FF 0F FF 2F FE","..../."
"USB-to-CAN V2 compact  CAN-1","15","00:00:00.089","      ","199","8","CF FF 0E 70 F1 8D 00 FF","...p...."


"USB-to-CAN V2 compact  CAN-1","998","00:00:00.751","      ","189","6","0F FF 0F FF 30 01","....0."
"USB-to-CAN V2 compact  CAN-1","999","00:00:00.751","      ","199","8","0F FF 0E 70 F1 90 00 FF","...p...."
"USB-to-CAN V2 compact  CAN-1","1,000","00:00:00.752","      ","0C1","8","40 00 00 00 40 00 00 00","@...@..."
"USB-to-CAN V2 compact  CAN-1","1,001","00:00:00.752","      ","0C5","8","40 00 00 00 40 00 00 00","@...@..."
"USB-to-CAN V2 compact  CAN-1","1,002","00:00:00.752","      ","0F1","4","10 00 00 40","...@"
"USB-to-CAN V2 compact  CAN-1","1,003","00:00:00.753","      ","4C1","8","05 C8 8C 5A B4 83 00 00","...Z...."
